name,price,b2bPrice,stock,description,category,barcode,imageUrl
Stella Artois Six Pack Lata 269,25000,25000,98,Stella Artois Six Pack Lata 269,Cerveza,7702004010582,products/images/7702004010582.webp
Stella Six Pac Botella 330,28000,28000,100,Stella Six Pac Botella 330,Cerveza,7501064199158,products/images/7501064199158.webp
Tanqueray London Dry Gin x 700 ml,185000,172025,9,"El resultado es un licor perfectamente equilibrado, muy infusionado de hierbas y con un final seco",Ginebra,,products/images/5000281015248.webp
Tequila Centenario Plata x 700 ml,135000,121423,10,Tequila Centenario Plata x 700 ml,Tequila,7501048810307,products/images/7501048810307.webp
Tequila Don Julio 70 Cristalino,434889,434889,5,Tequila Don Julio 70 Cristalino,Tequila,5000281056265,products/images/5000281056265.webp
Tequila Don Julio Blanco,256206,256206,9,Tequila Don Julio Blanco,Tequila,5000281060668,products/images/5000281060668.webp
Tequila Don Julio Reposado,318564,318564,4,Tequila Don Julio Reposado,Tequila,5000281062808,products/images/5000281062808.webp
Tequila Jimador Reposado x 375 ml,82791,82791,100,Tequila de Agave Jimador x 375 ml,Tequila,744607002318,products/images/744607002318.webp
Tequila Jimador Reposado x 700 ml,136924,136924,10,Tequila de Agave Jimador,Tequila,744607049108,products/images/744607049108.webp
Tequila Olmeca x 1000 ml,135000,123561,10,Tequila Olmeca x 1000 ml,Tequila,80432402207,https://cdn.expressapp.net/products/images/80432402207_.webp
Tequila Tres Caballos Silver Litro,143000,131251,10,Tequila Tres Caballos Silver Litro,Tequila,,products/images/759380113274.webp
The Famous Grouse,105000,98310,97,The Famous Grouse,Whiskey,5010314700003,products/images/5010314700003.webp
The Glenlivet Founder Reserve X 700 Ml,240000,200686,97,The Glenlivet Founder Reserve X 700 Ml,Whiskey,5000299609347,products/images/5000299609347.webp
The Glenliveth 12 Años Double Oak Verde,249000,221250,95,The Glenliveth 12 Años Double Oak Verde,Whiskey,80432402825,products/images/80432402825.webp
The Singleton 15 Años Dufftown,410000,356610,97,The Singleton 15 Años Dufftown,Whiskey,5000281026626,products/images/5000281026626.webp
The Singleton Dufftown X 700 Ml,220000,195990,98,The Singleton Dufftown X 700 Ml,Whiskey,5000281021621,products/images/5000281021621.webp
Tres Cordilleras Blanca,7500,7500,100,Tres Cordilleras Blanca,Cerveza Artesanal,7707361120028,products/images/7707361120028.webp
Tres Cordilleras Mestiza,7500,7500,100,Tres Cordilleras Mestiza,Cerveza Artesanal,7707361120035,products/images/7707361120035.webp
Tres Cordilleras Negra,7500,7500,100,Tres Cordilleras Negra,Cerveza Artesanal,7707361120196,products/images/7707361120196.webp
Tres Cordilleras Rosada Lata X 269 Ml Six Pack,7500,7500,100,Tres Cordilleras Rosada Lata X 269 Ml Six Pack,Cerveza Artesanal,7707430873978,products/images/7707430873978.webp
Tres Medallas Rose,59000,53563,100,Tres Medallas Rose,Vino Rosado,7804330007653,products/images/7804330007653.webp
Vaso de Whiskey,20000,20000,300,vaso de Whiskey de Cristal,Cristaleria,,products/images/1212222555.webp
Vino 18 Merlot X 750 Ml,35000,28619,100,Vino 18 Merlot X 750 Ml,Vino,7808765722822,products/images/7808765722822.webp
Vino Blanco Mioneto Prosecco Treviso Brut X 200 Ml,35000,31358,100,Vino Blanco Mioneto Prosecco Treviso Brut X 200 Ml,Vino Proseco,816253010310,products/images/816253010310.webp
Vino Carinoso De Manzana,25000,21250,100,Vino Carinoso De Manzana,Vino Dulce,7703588000112,products/images/7703588000112.webp
Vino Carinoso Manzana Rose,25000,21250,100,Vino Carinoso Manzana Rose,Vino Dulce,7703588001201,products/images/7703588001201.webp
Vino Cariñoso Tinto De Verano,25000,21250,100,Vino Cariñoso Tinto De Verano,Vino,7703588001041,products/images/7703588001041.webp
Vino Estoril Dulce,39000,34725,100,Vino Estoril Dulce,Vino Dulce,7702450025017,products/images/7702450025017.webp
Vino Gato Negro Breeze,35000,31250,100,Vino Gato Negro Breeze,Vino Blanco,7804300143695,products/images/7804300143695.webp
Vino Lambrusco Dulce Dolce Sweet Rosato Cleto Chiarli,64000,58125,100,Vino Lambrusco Dulce Dolce Sweet Rosato Cleto Chiarli,Vino Rosado,8003325602128,products/images/8003325602128.webp
Vino Mirador Sauvignon Blanco,47000,40376,100,Vino Mirador Sauvignon Blanco,Vino Blanco,7809625501861,products/images/7809625501861.webp
Vino Moscatel Casa Grajales 750 Cc,29000,25174,100,Vino Moscatel Casa Grajales 750 Cc,Vino Dulce,7702121214139,products/images/7702121214139.webp
Vino Moscatel La Merced 750 Cc,20000,16250,100,Vino Moscatel La Merced 750 Cc,Vino Dulce,7702454001130,products/images/7702454001130.webp
Vino Prosecco Mionetto Blanco Treviso Brut,105000,93700,100,Vino Prosecco Mionetto Blanco Treviso Brut,Vino Proseco,727760501638,products/images/727760501638.webp
Vino Vientos Del Sur Rose Sirah,39000,35218,100,Vino Vientos Del Sur Rose Sirah,Vino Rosado,7804321093566,products/images/7804321093566.webp
Vodka Smirnoff Original x 700 ml,119000,102813,10,Vodka Smirnoff Original x 700 ml,Vodka,,products/images/5410316942775.webp
Whiskey Monkey Shoulder 700 Cc,220000,191346,82,Whiskey Monkey Shoulder 700 Cc,Whiskey,5010327105215,products/images/5010327105215.webp
Whiskey + Vaso,180000,180000,100,promo,Combo,,https://cdn.expressapp.net/p/regalo-whiskey-vaso.webp
Whisky Escoces Duggans Dew X 700 Ml,70000,64806,87,Whisky Escoces Duggans Dew X 700 Ml,Whiskey,7703518151396,products/images/7703518151396.webp
